control_id,organization_id,control_name,control_category,implementation_status,coverage_percentage,effectiveness_score,maturity_level,annual_cost,implementation_cost,maintenance_cost,deployment_time_days,risk_reduction_percentage,compliance_status,last_assessment_date
CTRL-0001,ORG-001,Data Loss Prevention (DLP),Data Protection,Partially Implemented,30,0.38,Defined,225000,750000,112500,60,22,Non-Compliant,2026-04-10
CTRL-0002,ORG-001,Backup & Recovery,Resilience,Planned,0,0.0,Initial,175000,500000,87500,31,0,Non-Compliant,2026-06-03
CTRL-0003,ORG-001,Incident Response Plan,Governance,Planned,0,0.0,Initial,75000,200000,37500,35,0,Non-Compliant,2026-07-22
CTRL-0004,ORG-001,Threat Intelligence Platform,Threat Intel,Fully Implemented,88,0.64,Defined,187500,500000,93750,49,15,Compliant,2026-04-20
CTRL-0005,ORG-001,Mobile Device Management (MDM),Endpoint Security,Partially Implemented,49,0.3,Developing,87500,200000,43750,14,12,Non-Compliant,2026-07-11
CTRL-0006,ORG-001,Next-Gen Firewall,Network Security,Not Implemented,0,0.0,Initial,0,750000,125000,35,0,Non-Compliant,2026-07-25
CTRL-0007,ORG-001,Patch Management,Vulnerability,Fully Implemented,97,0.63,Managed,100000,250000,50000,13,25,Compliant,2026-07-18
CTRL-0008,ORG-001,Web Application Firewall (WAF),Network Security,Fully Implemented,89,0.84,Optimized,125000,375000,62500,15,18,Compliant,2026-06-23
CTRL-0009,ORG-001,Data Encryption (in transit),Data Protection,Not Implemented,0,0.0,Initial,0,200000,31250,9,0,Non-Compliant,2026-03-10
CTRL-0010,ORG-001,Data Encryption (at rest),Data Protection,Not Implemented,0,0.0,Initial,0,250000,37500,19,0,Non-Compliant,2026-03-29
CTRL-0011,ORG-001,Security Awareness Training,People,Planned,0,0.0,Initial,75000,125000,37500,15,0,Non-Compliant,2026-04-19
CTRL-0012,ORG-001,Email Security Gateway,Email Security,Fully Implemented,85,0.69,Optimized,100000,250000,50000,12,15,Compliant,2026-03-17
CTRL-0013,ORG-002,Zero Trust Architecture,Architecture,Planned,0,0.0,Initial,200000,800000,100000,186,0,Non-Compliant,2026-08-28
CTRL-0014,ORG-002,Web Application Firewall (WAF),Network Security,Fully Implemented,92,0.69,Managed,50000,150000,25000,12,18,Compliant,2026-07-07
CTRL-0015,ORG-002,Identity Governance (IGA),Identity & Access,Fully Implemented,86,0.75,Defined,65000,180000,32500,65,20,Compliant,2026-04-30
CTRL-0016,ORG-002,Intrusion Detection/Prevention (IDS/IPS),Network Security,Partially Implemented,33,0.33,Defined,70000,200000,35000,30,20,Non-Compliant,2026-05-03
CTRL-0017,ORG-002,SIEM,Monitoring,Fully Implemented,90,0.64,Managed,150000,500000,75000,42,15,Compliant,2026-07-04
CTRL-0018,ORG-002,API Security,Application Security,Planned,0,0.0,Initial,45000,120000,22500,36,0,Non-Compliant,2026-06-17
CTRL-0019,ORG-002,Cloud Security Posture Mgmt (CSPM),Cloud Security,Fully Implemented,82,0.72,Managed,60000,180000,30000,26,18,Compliant,2026-08-20
CTRL-0020,ORG-002,Mobile Device Management (MDM),Endpoint Security,Fully Implemented,90,0.64,Managed,35000,80000,17500,17,12,Compliant,2026-07-20
CTRL-0021,ORG-002,Threat Intelligence Platform,Threat Intel,Partially Implemented,70,0.57,Defined,75000,200000,37500,43,15,Non-Compliant,2026-06-13
CTRL-0022,ORG-002,Vulnerability Management,Risk Management,Partially Implemented,53,0.57,Developing,60000,150000,30000,40,20,Non-Compliant,2026-03-13
CTRL-0023,ORG-002,Data Loss Prevention (DLP),Data Protection,Not Implemented,0,0.0,Initial,0,300000,45000,63,0,Non-Compliant,2026-05-04
CTRL-0024,ORG-002,Email Security Gateway,Email Security,Partially Implemented,42,0.62,Developing,40000,100000,20000,14,15,Non-Compliant,2026-08-12
CTRL-0025,ORG-002,Incident Response Plan,Governance,Not Implemented,0,0.0,Initial,0,80000,15000,44,0,Non-Compliant,2026-06-28
CTRL-0026,ORG-002,Backup & Recovery,Resilience,Fully Implemented,99,0.94,Optimized,70000,200000,35000,19,35,Compliant,2026-04-21
CTRL-0027,ORG-002,Security Awareness Training,People,Partially Implemented,51,0.6,Defined,30000,50000,15000,21,12,Non-Compliant,2026-08-04
CTRL-0028,ORG-002,Patch Management,Vulnerability,Planned,0,0.0,Initial,40000,100000,20000,27,0,Non-Compliant,2026-03-08
CTRL-0029,ORG-003,Incident Response Plan,Governance,Partially Implemented,34,0.49,Developing,30000,80000,15000,41,10,Non-Compliant,2026-06-26
CTRL-0030,ORG-003,Container Security,Cloud Security,Partially Implemented,54,0.46,Developing,55000,150000,27500,43,18,Non-Compliant,2026-06-15
CTRL-0031,ORG-003,Endpoint Detection & Response (EDR),Endpoint Security,Planned,0,0.0,Initial,80000,200000,40000,31,0,Non-Compliant,2026-04-14
CTRL-0032,ORG-003,Email Security Gateway,Email Security,Partially Implemented,67,0.53,Defined,40000,100000,20000,13,15,Non-Compliant,2026-05-07
