threat_id,threat_actor,threat_category,attack_technique,targeted_industry,targeted_asset_type,campaign_active,threat_frequency,exploit_probability,geographic_scope,severity,intelligence_confidence,first_seen,last_seen,associated_cve,ransomware_indicator,data_exfiltration_risk
THREAT-00001,LockBit,Business Email Compromise,T1562 Impair Defenses,Energy,Domain Controller,True,14,0.56,EMEA,Low,Low,2025-10-21,2026-03-29,,False,True
THREAT-00002,TA505,Credential Theft,T1133 External Remote Services,Manufacturing,Database Server,True,51,0.43,Americas,Low,Low,2022-02-04,2022-04-02,CVE-2026-84764,False,False
THREAT-00003,Lazarus Group,Credential Theft,T1562 Impair Defenses,IT Services,Kubernetes Cluster,False,79,0.29,Asia-Pacific,Low,High,2022-03-12,2022-12-13,CVE-2026-81769,False,True
THREAT-00004,Kimsuky,Business Email Compromise,T1027 Obfuscated Files or Information,E-commerce,Storage Bucket,False,51,0.44,EMEA,Medium,Medium,2023-07-01,2023-10-20,CVE-2026-48331,False,True
THREAT-00005,LockBit,Supply Chain Attack,T1078 Valid Accounts,Government,Payment Gateway,False,47,0.12,EMEA,Low,High,2023-02-26,2023-08-19,,False,True
THREAT-00006,Lazarus Group,Supply Chain Attack,T1486 Data Encrypted for Impact,Education,Cloud VM,False,14,0.25,India,High,Medium,2025-11-05,2026-07-07,CVE-2026-78618,False,True
THREAT-00007,Kimsuky,Zero-Day Exploit,T1569 System Services,E-commerce,Domain Controller,False,72,0.48,Americas,Critical,Medium,2024-12-02,2025-08-08,CVE-2026-45782,False,False
THREAT-00008,Unknown,Web Application Attack,T1133 External Remote Services,Energy,Employee Laptop,False,34,0.31,EMEA,Medium,Medium,2022-01-11,2022-06-17,CVE-2026-79097,False,False
THREAT-00009,REvil,Data Exfiltration,T1070 Indicator Removal,Energy,API Gateway,False,8,0.45,EMEA,Low,Low,2021-10-01,2022-04-08,,False,False
THREAT-00010,Kimsuky,Web Application Attack,T1053 Scheduled Task/Job,IT Services,API Gateway,False,84,0.59,Asia-Pacific,High,High,2023-12-22,2024-08-14,,False,True
THREAT-00011,Mustang Panda,DDoS,T1071 Application Layer Protocol,Insurance,Kubernetes Cluster,False,115,0.61,Americas,Critical,Medium,2026-08-04,2026-09-04,CVE-2026-72800,False,False
THREAT-00012,Cybercrime Syndicate,Web Application Attack,T1053 Scheduled Task/Job,Manufacturing,Database Server,False,18,0.57,Americas,Critical,High,2025-01-10,2025-07-28,,False,False
THREAT-00013,Kimsuky,Data Exfiltration,T1133 External Remote Services,IT Services,Cloud VM,True,63,0.24,India,Medium,High,2021-12-24,2022-12-23,,False,True
THREAT-00014,FIN7,Zero-Day Exploit,T1082 System Information Discovery,Manufacturing,Database Server,False,55,0.59,EMEA,High,High,2025-05-03,2025-10-27,,False,False
THREAT-00015,Turla,DDoS,T1105 Ingress Tool Transfer,Education,API Gateway,True,31,0.76,India,High,Medium,2022-02-22,2022-05-11,CVE-2026-18602,False,False
THREAT-00016,Cybercrime Syndicate,Credential Theft,T1486 Data Encrypted for Impact,Energy,Storage Bucket,False,13,0.13,India,Low,Low,2023-11-21,2024-10-14,,False,False
THREAT-00017,Mustang Panda,Web Application Attack,T1190 Exploit Public-Facing Application,Education,Email Server,False,16,0.33,Global,Medium,Low,2025-08-17,2025-11-19,CVE-2026-76608,False,True
