remediation_id,vulnerability_id,asset_id,recommended_action,action_category,estimated_cost,implementation_time_days,expected_risk_reduction,expected_loss_reduction,priority,required_control,dependency,recommended_deadline,status
REM-000001,VULN-013134,AST-00381,Upgrade firewall,Network,188444,29,28.8,1570807,Critical,CTRL-0209,Requires downtime window,2026-10-04,Completed
REM-000002,VULN-025705,AST-05149,Apply least privilege,Identity,22255,16,36.3,328409,High,CTRL-0166,Requires budget approval,2026-10-02,In Progress
REM-000003,VULN-009752,AST-06637,Disable account,Identity,2563,7,20.8,23348,Critical,CTRL-0018,Requires budget approval,2026-09-19,In Progress
REM-000004,VULN-017767,AST-04408,Patch vulnerability,Patching,12971,7,49.4,49166,Medium,CTRL-0268,None,2026-09-17,Pending
REM-000005,VULN-017258,AST-05817,Increase monitoring,Monitoring,44897,14,23.6,388303,Low,CTRL-0064,None,2026-09-29,In Progress
REM-000006,VULN-018868,AST-09593,Upgrade firewall,Network,272926,24,33.8,3784552,Low,CTRL-0269,Requires change approval,2026-10-05,In Progress
REM-000007,VULN-022537,AST-05284,Enable backup,Resilience,59008,7,55.9,286765,Low,CTRL-0223,None,2026-09-14,Completed
REM-000008,VULN-020433,AST-04057,Patch vulnerability,Patching,21125,1,58.8,68318,Critical,CTRL-0257,Requires change approval,2026-09-07,Pending
REM-000009,VULN-016975,AST-06957,Deploy EDR,Endpoint,71058,11,50.3,666612,Medium,CTRL-0153,Requires vendor coordination,2026-09-17,Completed
REM-000010,VULN-004776,AST-04326,Fix cloud configuration,Cloud,10415,10,32.9,72599,Medium,CTRL-0080,None,2026-09-14,Completed
REM-000011,VULN-005053,AST-05596,Enable MFA,Identity,29118,12,35.3,137729,Medium,CTRL-0140,None,2026-09-25,Pending
REM-000012,VULN-008349,AST-02508,Network segmentation,Network,204020,39,30.4,2412389,Low,CTRL-0092,Requires budget approval,2026-10-17,Pending
REM-000013,VULN-018884,AST-09158,Increase monitoring,Monitoring,65354,14,23.2,308464,Critical,CTRL-0220,Requires downtime window,2026-09-25,Pending
REM-000014,VULN-005041,AST-00687,Apply least privilege,Identity,25409,8,37.6,312913,Low,CTRL-0301,Requires downtime window,2026-09-18,Completed
REM-000015,VULN-004336,AST-03902,Deploy EDR,Endpoint,79010,17,32.1,385089,Medium,CTRL-0353,Requires downtime window,2026-09-30,Completed
REM-000016,VULN-014463,AST-01154,Increase monitoring,Monitoring,61634,5,17.5,499188,Low,CTRL-0158,Requires vendor coordination,2026-09-13,Pending
REM-000017,VULN-004476,AST-04418,Network segmentation,Network,123515,40,35.7,723577,Low,CTRL-0354,Requires budget approval,2026-10-28,In Progress
REM-000018,VULN-022249,AST-06701,Fix cloud configuration,Cloud,13939,7,32.9,69940,Medium,CTRL-0288,Requires vendor coordination,2026-09-24,Overdue
REM-000019,VULN-016229,AST-04753,Fix cloud configuration,Cloud,8874,7,23.1,80804,High,CTRL-0157,Requires downtime window,2026-09-13,Completed
