investment_id,organization_id,control_id,investment_name,implementation_cost,annual_operating_cost,expected_risk_reduction_percentage,expected_loss_reduction,implementation_time_days,affected_assets,affected_business_units,compliance_benefit,implementation_priority,expected_ROSI
INV-00001,ORG-001,CTRL-0010,Incident Response Retainer,5071406,1722410,33.8,87584520,84,418,7,High,Low,1627.0
INV-00002,ORG-001,CTRL-0006,Threat Intelligence Integration,1622098,500776,17.1,16229929,100,725,3,High,High,900.6
INV-00003,ORG-001,CTRL-0003,Network Segmentation Project,2413097,411377,30.9,20690145,68,2889,2,Medium,High,757.4
INV-00004,ORG-001,CTRL-0008,Zero Trust Network Access,2658467,424477,17.1,45159368,74,482,5,Medium,Low,1598.7
INV-00005,ORG-001,CTRL-0006,Email Security Enhancement,5208521,1203920,23.4,58076212,74,656,4,Medium,Medium,1015.0
INV-00006,ORG-001,CTRL-0004,SIEM Modernization,542509,139594,35.8,8026983,114,157,3,Medium,High,1379.6
INV-00007,ORG-001,CTRL-0001,Enterprise MFA Rollout,5803797,1323496,22.9,70391150,101,591,7,Medium,High,1112.8
INV-00008,ORG-001,CTRL-0002,Next-Gen Firewall Replacement,1590402,420936,21.8,11009687,142,2473,7,Medium,Low,592.3
INV-00009,ORG-001,CTRL-0010,EDR Platform Upgrade,3394336,618492,38.9,55217825,67,146,2,Medium,Medium,1526.8
INV-00010,ORG-001,CTRL-0009,API Security Gateway,963711,161050,29.7,15973940,107,917,3,Low,High,1557.5
INV-00011,ORG-001,CTRL-0012,Identity Governance Upgrade,2401436,436623,24.3,21908752,23,2410,8,High,High,812.3
INV-00012,ORG-001,CTRL-0004,Security Operations Center Expansion,2224577,339821,10.6,18772615,102,2153,3,High,Low,743.9
INV-00013,ORG-001,CTRL-0008,Privileged Access Management Deployment,877531,244179,33.4,16301983,22,1672,7,High,Medium,1757.7
INV-00014,ORG-001,CTRL-0010,DLP Implementation,2564724,712237,37.1,32045297,106,223,7,Medium,Medium,1149.5
INV-00015,ORG-001,CTRL-0006,Cloud Security Posture Hardening,3761123,1117305,20.3,40354140,119,2487,2,High,Critical,972.9
INV-00016,ORG-002,CTRL-0016,Email Security Enhancement,1827803,275826,21.6,32470683,61,533,4,High,High,1676.5
INV-00017,ORG-002,CTRL-0020,Threat Intelligence Integration,761504,228907,36.0,12453861,158,194,2,Medium,High,1535.4
INV-00018,ORG-002,CTRL-0014,Network Segmentation Project,1568957,547663,13.4,18259416,154,1840,7,Low,High,1063.8
INV-00019,ORG-002,CTRL-0017,API Security Gateway,517757,90960,15.0,4888480,103,1528,2,Medium,Medium,844.2
INV-00020,ORG-002,CTRL-0017,EDR Platform Upgrade,1371081,337690,26.7,9438356,77,2855,1,Medium,High,588.4
INV-00021,ORG-002,CTRL-0024,Privileged Access Management Deployment,1247728,338998,44.2,24278607,85,2091,3,Low,High,1845.8
INV-00022,ORG-002,CTRL-0014,SIEM Modernization,1323915,215892,18.6,6912885,35,978,4,Medium,Medium,422.2
INV-00023,ORG-002,CTRL-0024,Backup & DR Enhancement,1640997,426234,11.4,19303878,130,2889,6,High,Medium,1076.4
INV-00024,ORG-002,CTRL-0017,Cloud Security Posture Hardening,598248,106835,23.8,6354957,109,116,6,High,Medium,962.3
INV-00025,ORG-002,CTRL-0025,Data Encryption Expansion,240871,43639,21.0,2318932,64,2661,7,Medium,Critical,862.7
INV-00026,ORG-002,CTRL-0018,Enterprise MFA Rollout,1187938,401003,15.8,17070731,36,547,2,High,High,1337.0
INV-00027,ORG-002,CTRL-0022,Zero Trust Network Access,1841483,310201,42.1,36791976,64,555,2,High,Low,1898.0
INV-00028,ORG-002,CTRL-0025,Container Security Platform,98885,33934,24.9,1286522,58,2126,5,Medium,High,1201.0
INV-00029,ORG-002,CTRL-0018,Identity Governance Upgrade,132211,30882,13.7,1724809,66,709,6,Medium,High,1204.6
INV-00030,ORG-003,CTRL-0032,Backup & DR Enhancement,1241991,270631,41.0,20144800,105,1515,5,Medium,Medium,1522.0
INV-00031,ORG-003,CTRL-0034,DLP Implementation,1392243,474661,41.1,17343780,75,587,4,Medium,High,1145.7
INV-00032,ORG-003,CTRL-0038,SIEM Modernization,891404,219406,40.4,16426249,43,1492,7,Low,High,1742.7
INV-00033,ORG-003,CTRL-0036,Threat Intelligence Integration,1885159,637867,38.4,22681078,161,2666,2,Low,Medium,1103.1
INV-00034,ORG-003,CTRL-0039,Cloud Security Posture Hardening,1214231,406916,33.8,15827410,127,1253,4,Low,Critical,1203.5
INV-00035,ORG-003,CTRL-0036,Enterprise MFA Rollout,762261,206626,41.8,4569797,160,535,2,High,Medium,499.5
INV-00036,ORG-003,CTRL-0030,Identity Governance Upgrade,104284,25143,28.5,721185,39,845,5,Medium,High,591.6
INV-00037,ORG-003,CTRL-0034,Incident Response Retainer,1925295,608014,19.0,19429880,19,2861,2,High,Medium,909.2
INV-00038,ORG-003,CTRL-0034,Next-Gen Firewall Replacement,773655,131123,38.6,10953389,62,1125,5,Medium,Medium,1315.8
