asset_id,organization_id,business_unit_id,asset_name,asset_type,operating_system,environment,cloud_provider,region,internet_exposed,asset_owner,business_service,data_classification,asset_criticality,confidentiality_score,integrity_score,availability_score,revenue_dependency,customer_dependency,regulatory_dependency,dependency_count,asset_age_days,current_risk_score
AST-00001,ORG-002,BU-0008,Employee Laptop 1,Employee Laptop,macOS Ventura,Production,AWS,us-east-1,False,owner_50@corp.com,HR System,Highly Confidential,High,9,6,9,0.58,0.02,0.55,15,557,4.7
AST-00002,ORG-025,BU-0150,CI/CD Server 2,CI/CD Server,Linux,Development,On-Premise,ap-south-1,False,owner_439@corp.com,API Platform,Public,Low,1,1,1,0.42,0.12,0.44,1,415,1.7
AST-00003,ORG-020,BU-0124,IAM System 3,IAM System,SaaS,Production,Azure,eu-west-1,True,owner_254@corp.com,Communication,Confidential,High,8,6,8,0.77,0.26,0.5,11,1807,9.7
AST-00004,ORG-002,BU-0009,SaaS Application 4,SaaS Application,SaaS,Production,Azure,ap-south-1,False,owner_65@corp.com,File Sharing,Highly Confidential,Critical,9,10,8,0.71,0.06,0.55,0,1412,10
AST-00005,ORG-004,BU-0025,Kubernetes Cluster 5,Kubernetes Cluster,Linux,Staging,On-Premise,ap-southeast-1,False,owner_468@corp.com,Communication,Highly Confidential,Low,1,1,1,0.1,0.37,0.7,10,1659,1.8
AST-00006,ORG-012,BU-0069,Workstation 6,Workstation,Windows 11,Production,AWS,ap-south-1,False,owner_50@corp.com,Core Banking,Confidential,Critical,10,9,10,0.99,0.33,0.19,0,2265,5.4
AST-00007,ORG-020,BU-0121,File Server 7,File Server,Linux,Production,Azure,ap-southeast-1,True,owner_55@corp.com,Core Banking,Confidential,Critical,10,9,9,0.79,0.3,0.31,5,1570,8.4
AST-00008,ORG-004,BU-0023,IAM System 8,IAM System,SaaS,Production,On-Premise,ap-south-1,False,owner_247@corp.com,File Sharing,Confidential,Critical,9,9,9,0.49,0.28,0.14,10,612,9.5
AST-00009,ORG-011,BU-0063,Web Server 9,Web Server,Windows Server 2022,Production,Azure,ap-southeast-1,False,owner_371@corp.com,Payment Processing,Highly Confidential,High,9,8,9,0.94,0.3,0.77,2,905,8.7
AST-00010,ORG-020,BU-0122,CI/CD Server 10,CI/CD Server,Linux,Development,AWS,eu-west-1,False,owner_235@corp.com,Data Analytics,Public,Low,1,1,1,0.13,0.19,0.23,8,2072,1.4
AST-00011,ORG-005,BU-0026,IAM System 11,IAM System,SaaS,Production,GCP,eu-west-1,True,owner_270@corp.com,DevOps Pipeline,Confidential,Critical,10,10,10,0.85,0.35,0.15,1,773,10
AST-00012,ORG-010,BU-0058,Employee Laptop 12,Employee Laptop,Windows 11,Production,Azure,eu-west-1,False,owner_69@corp.com,Customer Portal,Confidential,High,7,8,9,1.0,0.33,0.05,13,1292,8.2
AST-00013,ORG-017,BU-0107,Application Server 13,Application Server,Windows Server 2022,Production,AWS,us-east-1,False,owner_230@corp.com,File Sharing,Confidential,High,9,9,9,0.77,0.19,0.41,2,2257,5.6
AST-00014,ORG-014,BU-0087,Employee Laptop 14,Employee Laptop,macOS Ventura,Production,AWS,ap-southeast-1,True,owner_238@corp.com,Core Banking,Confidential,Medium,5,3,3,0.09,0.7,0.1,0,371,7.5
AST-00015,ORG-008,BU-0044,Firewall 15,Firewall,Proprietary,Production,AWS,us-east-1,False,owner_133@corp.com,Email,Confidential,High,6,6,8,0.73,0.2,0.43,12,793,8.5
AST-00016,ORG-006,BU-0035,VPN Gateway 16,VPN Gateway,Linux,Production,GCP,us-east-1,False,owner_394@corp.com,API Platform,Confidential,Critical,9,10,10,0.67,0.33,0.22,3,339,10
AST-00017,ORG-015,BU-0090,Email Server 17,Email Server,Linux,Production,AWS,ap-south-1,False,owner_336@corp.com,Customer Portal,Confidential,Critical,10,9,10,0.52,0.04,0.04,13,185,5.1
AST-00018,ORG-022,BU-0129,Firewall 18,Firewall,Proprietary,Production,On-Premise,ap-south-1,True,owner_31@corp.com,Core Banking,Highly Confidential,Medium,5,5,5,0.27,0.55,0.87,13,1139,4.6
AST-00019,ORG-009,BU-0055,Storage Bucket 19,Storage Bucket,N/A,Production,On-Premise,ap-southeast-1,False,owner_170@corp.com,CRM,Highly Confidential,Critical,8,10,10,0.36,0.02,0.87,14,1186,8.8
AST-00020,ORG-004,BU-0025,Domain Controller 20,Domain Controller,Windows Server 2022,Production,On-Premise,eu-west-1,False,owner_56@corp.com,Communication,Confidential,Medium,6,4,4,0.13,0.25,0.05,14,2290,3.6
AST-00021,ORG-016,BU-0102,Kubernetes Cluster 21,Kubernetes Cluster,Linux,Staging,AWS,ap-southeast-1,False,owner_472@corp.com,Payment Processing,Internal,Low,1,1,2,0.37,0.34,0.33,0,1137,1.2
AST-00022,ORG-021,BU-0126,Payment Gateway 22,Payment Gateway,Linux,Production,On-Premise,us-east-1,False,owner_336@corp.com,ERP,Confidential,High,6,7,6,0.92,0.05,0.48,0,404,5.9
AST-00023,ORG-009,BU-0053,Workstation 23,Workstation,Windows 11,Development,Azure,ap-south-1,False,owner_343@corp.com,Data Analytics,Confidential,Low,3,2,1,0.38,0.03,0.31,2,479,1.9
AST-00024,ORG-005,BU-0027,VPN Gateway 24,VPN Gateway,Linux,Production,GCP,us-east-1,False,owner_459@corp.com,DevOps Pipeline,Highly Confidential,High,9,7,9,0.89,0.28,0.51,10,408,8.6
AST-00025,ORG-024,BU-0144,Email Server 25,Email Server,Windows Server 2019,Production,GCP,ap-south-1,False,owner_148@corp.com,CRM,Highly Confidential,High,7,7,7,0.91,0.09,0.62,3,2004,5.3
AST-00026,ORG-023,BU-0138,Application Server 26,Application Server,Linux,Development,AWS,ap-south-1,False,owner_17@corp.com,Data Analytics,Public,Medium,5,4,5,0.2,0.34,0.37,12,539,3.6
AST-00027,ORG-008,BU-0045,Database Server 27,Database Server,Windows Server 2019,Production,AWS,ap-southeast-1,False,owner_430@corp.com,Supply Chain,Confidential,Critical,8,10,8,0.85,0.13,0.45,11,1565,10
AST-00028,ORG-003,BU-0016,Storage Bucket 28,Storage Bucket,N/A,Production,On-Premise,ap-south-1,False,owner_459@corp.com,CRM,Highly Confidential,Critical,8,8,9,0.51,0.17,0.9,5,136,10
AST-00029,ORG-015,BU-0092,Web Server 29,Web Server,Windows Server 2022,Staging,GCP,ap-southeast-1,False,owner_4@corp.com,File Sharing,Highly Confidential,Low,3,3,1,0.27,0.05,0.89,9,2321,2.2
AST-00030,ORG-025,BU-0152,Email Server 30,Email Server,Linux,Production,GCP,us-east-1,True,owner_191@corp.com,Supply Chain,Public,Medium,6,5,6,0.17,0.91,0.47,14,1841,5.8
AST-00031,ORG-017,BU-0103,File Server 31,File Server,Windows Server 2019,Production,On-Premise,us-east-1,False,owner_468@corp.com,Security Ops,Confidential,High,6,8,6,0.56,0.09,0.23,14,2176,9.4
AST-00032,ORG-007,BU-0038,Workstation 32,Workstation,Ubuntu 22.04,Production,AWS,eu-west-1,True,owner_359@corp.com,Customer Portal,Confidential,Critical,10,10,10,0.62,0.23,0.04,7,1112,7.9
AST-00033,ORG-019,BU-0116,Kubernetes Cluster 33,Kubernetes Cluster,Linux,Staging,AWS,ap-south-1,False,owner_128@corp.com,Communication,Internal,Low,1,2,3,0.26,0.33,0.02,10,902,1.1
AST-00034,ORG-009,BU-0054,Network Device 34,Network Device,Proprietary,Production,GCP,ap-south-1,False,owner_304@corp.com,HR System,Highly Confidential,Critical,10,8,8,0.59,0.08,0.91,11,1625,7.8
AST-00035,ORG-007,BU-0039,Web Server 35,Web Server,Linux,Production,AWS,eu-west-1,False,owner_195@corp.com,Communication,Confidential,High,6,6,9,0.82,0.09,0.06,11,959,4.3
AST-00036,ORG-023,BU-0137,Kubernetes Cluster 36,Kubernetes Cluster,Linux,Production,AWS,us-east-1,True,owner_257@corp.com,API Platform,Confidential,Critical,10,8,8,0.71,0.98,0.43,0,2082,9.2
AST-00037,ORG-010,BU-0061,Application Server 37,Application Server,Windows Server 2022,Development,GCP,ap-south-1,False,owner_369@corp.com,Data Analytics,Internal,Low,1,2,1,0.44,0.14,0.4,0,559,1.2
AST-00038,ORG-016,BU-0100,Kubernetes Cluster 38,Kubernetes Cluster,Linux,Staging,On-Premise,ap-south-1,False,owner_1@corp.com,HR System,Public,Medium,5,3,6,0.29,0.17,0.41,9,2067,4.6
AST-00039,ORG-012,BU-0074,Payment Gateway 39,Payment Gateway,Linux,Production,AWS,us-east-1,False,owner_391@corp.com,File Sharing,Confidential,Critical,10,8,8,0.64,0.16,0.39,10,123,8.7
AST-00040,ORG-002,BU-0006,Application Server 40,Application Server,Windows Server 2022,Production,On-Premise,eu-west-1,False,owner_27@corp.com,CRM,Confidential,Critical,8,10,9,0.89,0.35,0.27,8,2131,9.0
AST-00041,ORG-003,BU-0016,Network Device 41,Network Device,Proprietary,Production,AWS,ap-south-1,False,owner_14@corp.com,Core Banking,Confidential,Critical,10,9,8,0.62,0.04,0.12,15,688,10
AST-00042,ORG-002,BU-0008,Workstation 42,Workstation,Ubuntu 22.04,Development,Azure,eu-west-1,False,owner_142@corp.com,Data Analytics,Internal,Low,3,1,2,0.31,0.27,0.12,7,1663,1.5
AST-00043,ORG-009,BU-0056,Network Device 43,Network Device,Proprietary,Production,GCP,ap-south-1,True,owner_288@corp.com,Supply Chain,Confidential,High,7,9,8,0.62,0.98,0.44,14,1534,8.5
AST-00044,ORG-002,BU-0008,Payment Gateway 44,Payment Gateway,Linux,Production,On-Premise,ap-southeast-1,True,owner_172@corp.com,Data Analytics,Highly Confidential,High,8,6,8,0.98,0.22,0.6,0,1601,6.7
AST-00045,ORG-003,BU-0013,Web Server 45,Web Server,Linux,Production,AWS,eu-west-1,False,owner_162@corp.com,Communication,Highly Confidential,High,7,9,6,0.92,0.08,0.64,2,864,8.7
AST-00046,ORG-002,BU-0009,Kubernetes Cluster 46,Kubernetes Cluster,Linux,Production,AWS,ap-southeast-1,False,owner_46@corp.com,API Platform,Highly Confidential,Critical,10,10,10,0.84,0.27,0.72,8,563,6.8
AST-00047,ORG-011,BU-0067,Kubernetes Cluster 47,Kubernetes Cluster,Linux,Staging,On-Premise,ap-southeast-1,False,owner_26@corp.com,Customer Portal,Highly Confidential,Low,1,1,1,0.42,0.37,0.76,3,1267,1.1
AST-00048,ORG-022,BU-0134,VPN Gateway 48,VPN Gateway,Linux,Production,AWS,us-east-1,False,owner_340@corp.com,ERP,Highly Confidential,High,9,9,6,0.76,0.15,0.71,14,2483,4.8
AST-00049,ORG-013,BU-0083,SaaS Application 49,SaaS Application,SaaS,Production,GCP,ap-southeast-1,True,owner_51@corp.com,Email,Public,Medium,6,3,3,0.49,0.46,0.06,15,1075,4.8
AST-00050,ORG-024,BU-0140,Cloud VM 50,Cloud VM,Linux,Testing,On-Premise,ap-southeast-1,False,owner_158@corp.com,CRM,Highly Confidential,Medium,6,5,6,0.41,0.03,0.84,7,1204,5.2
AST-00051,ORG-001,BU-0001,API Gateway 51,API Gateway,Linux,Production,On-Premise,eu-west-1,True,owner_146@corp.com,API Platform,Confidential,Critical,10,8,8,0.79,0.92,0.07,11,952,8.9
AST-00052,ORG-009,BU-0053,Network Device 52,Network Device,Proprietary,Production,On-Premise,eu-west-1,True,owner_411@corp.com,ERP,Confidential,High,7,8,9,0.32,0.91,0.05,2,352,8.5
AST-00053,ORG-023,BU-0137,SaaS Application 53,SaaS Application,SaaS,Production,On-Premise,ap-south-1,False,owner_11@corp.com,API Platform,Confidential,High,8,7,9,0.52,0.19,0.37,14,2050,9.2
AST-00054,ORG-018,BU-0115,IoT Device 54,IoT Device,Embedded,Production,On-Premise,ap-southeast-1,False,owner_388@corp.com,Core Banking,Confidential,Critical,10,10,10,0.61,0.31,0.23,11,1065,9.9
AST-00055,ORG-009,BU-0051,SaaS Application 55,SaaS Application,SaaS,Production,Azure,ap-south-1,True,owner_90@corp.com,File Sharing,Highly Confidential,Critical,10,10,10,0.89,0.67,0.89,15,868,7.3
AST-00056,ORG-002,BU-0007,API Gateway 56,API Gateway,Linux,Production,GCP,ap-southeast-1,False,owner_344@corp.com,Customer Portal,Highly Confidential,Critical,10,9,9,0.95,0.11,0.67,10,2118,8.8
AST-00057,ORG-019,BU-0118,API Gateway 57,API Gateway,Linux,Production,AWS,ap-southeast-1,True,owner_24@corp.com,ERP,Confidential,High,8,7,8,0.56,0.67,0.16,10,1541,7.2
AST-00058,ORG-019,BU-0120,API Gateway 58,API Gateway,Linux,Staging,GCP,us-east-1,False,owner_98@corp.com,File Sharing,Highly Confidential,Medium,5,3,4,0.16,0.12,0.93,3,2090,3.8
AST-00059,ORG-024,BU-0144,Email Server 59,Email Server,Linux,Production,Azure,ap-southeast-1,False,owner_439@corp.com,Communication,Highly Confidential,High,6,7,6,0.37,0.11,0.7,7,2438,7.9
AST-00060,ORG-021,BU-0127,IoT Device 60,IoT Device,Embedded,Production,Azure,eu-west-1,False,owner_342@corp.com,Customer Portal,Confidential,Critical,9,8,10,0.62,0.17,0.26,4,499,9.6
AST-00061,ORG-004,BU-0018,Database Server 61,Database Server,Linux,Production,Azure,ap-southeast-1,False,owner_200@corp.com,CRM,Confidential,High,6,7,6,0.85,0.07,0.11,15,1540,8.1
AST-00062,ORG-004,BU-0021,SaaS Application 62,SaaS Application,SaaS,Production,AWS,ap-south-1,False,owner_343@corp.com,HR System,Highly Confidential,High,9,7,9,0.53,0.34,0.67,13,957,8.2
AST-00063,ORG-013,BU-0083,CI/CD Server 63,CI/CD Server,Linux,Development,Azure,ap-southeast-1,False,owner_496@corp.com,Security Ops,Highly Confidential,Low,3,2,1,0.5,0.22,0.83,14,1067,2.1
AST-00064,ORG-025,BU-0149,Email Server 64,Email Server,Linux,Production,GCP,ap-south-1,False,owner_241@corp.com,HR System,Confidential,Critical,10,9,10,0.73,0.33,0.08,12,2420,9.4
AST-00065,ORG-005,BU-0028,IAM System 65,IAM System,SaaS,Production,GCP,ap-southeast-1,False,owner_232@corp.com,Customer Portal,Highly Confidential,Critical,10,8,10,0.48,0.15,0.71,7,678,10
AST-00066,ORG-013,BU-0080,Email Server 66,Email Server,Linux,Production,Azure,ap-south-1,False,owner_299@corp.com,ERP,Highly Confidential,Medium,4,4,6,0.42,0.05,0.79,12,1448,4.4
AST-00067,ORG-014,BU-0087,IoT Device 67,IoT Device,Embedded,Production,Azure,ap-southeast-1,False,owner_440@corp.com,API Platform,Confidential,Medium,6,4,3,0.33,0.15,0.23,11,1582,4.7
AST-00068,ORG-023,BU-0138,Application Server 68,Application Server,Windows Server 2022,Development,GCP,ap-southeast-1,False,owner_242@corp.com,ERP,Public,Low,1,3,1,0.43,0.05,0.41,15,216,1.4
AST-00069,ORG-004,BU-0025,VPN Gateway 69,VPN Gateway,Linux,Production,On-Premise,ap-south-1,True,owner_175@corp.com,Payment Processing,Highly Confidential,High,6,9,7,0.34,0.34,0.54,12,1063,6.5
AST-00070,ORG-011,BU-0065,File Server 70,File Server,Windows Server 2019,Production,AWS,ap-southeast-1,True,owner_471@corp.com,HR System,Highly Confidential,Critical,10,8,10,0.73,0.55,0.77,6,1927,10
AST-00071,ORG-019,BU-0120,File Server 71,File Server,Linux,Production,On-Premise,ap-southeast-1,True,owner_341@corp.com,Core Banking,Confidential,High,8,9,9,0.54,0.62,0.03,13,873,7.7
AST-00072,ORG-024,BU-0144,IoT Device 72,IoT Device,Embedded,Production,AWS,ap-south-1,False,owner_432@corp.com,Core Banking,Highly Confidential,Medium,5,4,5,0.22,0.39,0.62,2,2227,4.9
AST-00073,ORG-006,BU-0037,CI/CD Server 73,CI/CD Server,Linux,Development,On-Premise,us-east-1,False,owner_326@corp.com,API Platform,Highly Confidential,Low,1,1,1,0.28,0.03,0.83,4,1406,1.6
AST-00074,ORG-025,BU-0150,Kubernetes Cluster 74,Kubernetes Cluster,Linux,Staging,Azure,ap-south-1,False,owner_355@corp.com,ERP,Internal,Medium,5,4,3,0.21,0.13,0.32,0,562,5.6
AST-00075,ORG-016,BU-0102,Firewall 75,Firewall,Proprietary,Production,GCP,us-east-1,True,owner_216@corp.com,Supply Chain,Confidential,High,7,8,9,0.91,0.99,0.25,1,438,7.1
AST-00076,ORG-006,BU-0035,File Server 76,File Server,Linux,Production,On-Premise,ap-southeast-1,True,owner_288@corp.com,DevOps Pipeline,Highly Confidential,High,8,9,9,0.87,0.57,0.92,13,2314,7.2
AST-00077,ORG-023,BU-0137,IAM System 77,IAM System,SaaS,Production,GCP,ap-southeast-1,True,owner_359@corp.com,Data Analytics,Confidential,Critical,9,9,9,0.7,0.35,0.12,6,1904,8.6
AST-00078,ORG-025,BU-0147,IAM System 78,IAM System,SaaS,Production,AWS,eu-west-1,False,owner_213@corp.com,HR System,Confidential,Critical,9,10,9,0.78,0.07,0.33,6,1503,7.1
AST-00079,ORG-021,BU-0126,IoT Device 79,IoT Device,Embedded,Production,AWS,eu-west-1,False,owner_81@corp.com,Customer Portal,Confidential,Critical,10,8,10,0.83,0.23,0.21,12,729,5.5
AST-00080,ORG-008,BU-0050,CI/CD Server 80,CI/CD Server,Linux,Development,Azure,us-east-1,False,owner_41@corp.com,Payment Processing,Internal,Low,1,2,2,0.19,0.07,0.28,3,2372,2.3
